Spesa,10.00,panini,03-01-2026
Spesa,20.00,sushi,05-01-2026
Spesa,10.00,calza,06-01-2026
Ricavo,20.00,nonna,06-01-2026
Ricavo,25.00,zia,06-01-2026
Spesa,25.00,escape room,06-01-2026
Spesa,20.00,cena la zona,11-01-2026
Spesa,5.00,.p.,11-01-2026
Ricavo,10.00,nonna per domenica,11-01-2026
Ricavo,10.00,nonna per domenica,18-01-2026
Spesa,5.00,caffe,24-01-2026
Ricavo,10.00,nonna per pagella,24-01-2026
Ricavo,10.00,nonna per domenica,25-01-2026
Ricavo,20.00,zio,25-01-2026
Spesa,15.00,cena,25-01-2026
Spesa,5.00,slot,25-01-2026
Ricavo,10.00,nonni,27-01-2026
Spesa,5.00,casino,30-01-2026
